"ID","treeID","creatorID","specID","height","DBH","plot","level"
835,"r00734","SBSF","BUR",41,0.36,"fs-017",9
836,"r00735","SBSF","BUR",45.2,0.32,"fs-017",10
837,"r00736","SBSF","BUR",45,0.14,"fs-017",9
838,"r00737","SBSF","BUR",7.8,0.25,"fs-017",2
839,"r00738","SBSF","BUR",32.9,0.18,"fs-011",7
840,"r00739","SBSF","BUR",32.9,0.55,"fs-011",7
841,"r00740","SBSF","BUR",24.6,0.23,"fs-011",5
842,"r00741","SBSF","BUR",24.6,0.59,"fs-011",5
843,"r00742","SBSF","BUR",36.1,0.25,"fs-011",8
844,"r00743","SBSF","BUR",43.4,0.33,"fs-011",9
845,"r00744","SBSF","BUR",21,0.19,"fs-012",5
846,"r00745","SBSF","BUR",34.4,0.43,"fs-012",7
847,"r00746","SBSF","BUR",8,0.13,"fs-012",2
848,"r00747","SBSF","BUR",36.5,0.6,"fs-012",8
849,"r00748","SBSF","BUR",40.4,0.54,"fs-012",9
850,"r00749","SBSF","BUR",20.4,0.46,"fs-012",5
851,"r00750","SBSF","BUR",27.5,0.25,"fs-012",6
852,"r00751","SBSF","BUR",35.3,0.45,"fs-012",8
853,"r00752","SBSF","BUR",8,0.13,"fs-012",2
854,"r00753","DGLJS","FIG",24,0.27,"fs-028",5
855,"r00754","DGLJS","FIG",24,0.18,"fs-028",5
856,"r00755","DGLJS","FIG",24,0.41,"fs-028",5
857,"r00756","jk","FIG",NA,0.22,"fs-028",NA
858,"r00757","DGLJS","FIG",24,0.14,"fs-028",5
859,"r00758","DGLJS","BUR",13,0.18,"fs-034",3
860,"r00759","DGLJS","BUR",13,0.16,"fs-034",3
861,"r00760","SBSF","HBU",27,0.1,"fs-014",6
862,"r00761","SBSF","HBU",27,0.13,"fs-014",6
863,"r00762","SBSF","HBU",27,0.09,"fs-014",6
864,"r00763","jk","BUR",NA,0.55,"fs-006",NA
865,"r00764","jk","BUR",NA,0.09,"fs-001",NA
866,"r00765","SBSF","HBU",27,0.08,"fs-014",6
867,"r00766","SBSF","HBU",27,0.13,"fs-014",6
868,"r00768","SBSF","BUR",27,0.14,"fs-014",6
869,"r00769","SBSF","HBU",27,0.08,"fs-014",6
870,"r00770","SBSF","BUR",27,0.29,"fs-014",6
871,"r00771","SBSF","EIT",27,0.09,"fs-014",6
872,"r00772","SBSF","BUR",27,0.22,"fs-014",6
873,"r00773","SBSF","HBU",27,0.13,"fs-014",6
874,"r00774","SBSF","BUR",27,0.1,"fs-014",6
875,"r00775","SBSF","BUR",27,0.1,"fs-014",6
876,"r00776","SBSF","BUR",27,0.12,"fs-014",6
878,"r00778","SBSF","HBU",27,0.1,"fs-014",6
879,"r00779","SBSF","BUR",27,0.24,"fs-014",6
880,"r00780","SBSF","BUR",29.6,0.43,"fs-013",6
881,"r00781","SBSF","EIT",39.4,0.45,"fs-013",8
882,"r00782","SBSF","BUR",43.4,0.47,"fs-013",9
883,"r00783","SBSF","BUR",41.9,0.38,"fs-013",9
884,"r00784","SBSF","EIT",38.9,0.38,"fs-013",8
885,"r00785","SBSF","BUR",41.9,0.53,"fs-013",9
886,"r00786","SBSF","EIT",40.4,0.4,"fs-013",9
887,"r00787","SBSF","EIT",16.8,0.42,"fs-013",4
888,"r00800","GHKLRRS","BUR",16.2,0.2,"fs-020",4
889,"r00801","GHKLRRS","BUR",30.8,0.57,"fs-020",7
890,"r00802","GHKLRRS","BUR",29.1,0.71,"fs-020",6
891,"r00803","GHKLRRS","BUR",15.9,0.19,"fs-020",4
892,"r00804","GHKLRRS","BUR",5.2,0.15,"fs-020",2
