"plotNumber","speciesEvenness","levelEvenness","conditionEvenness","overallEvenness"
"fs-049","0.76069881003346","0.669191548376426","0.47707130621933","1.90696166462922"
"fs-048","0","0.782069549540338","0.650022421648354","1.43209197118869"
"fs-024","0.763936071392928","0.862423006907394","0.286396957115956","1.91275603541628"
"fs-032","0.881290899230693","0.87635763948985","0","1.75764853872054"
"fs-041","0","1","0","1"
"fs-040","0","0.875","0","0.875"
"fs-042","0.817345422146509","0.729846699162098","0","1.54719212130861"
"fs-047","0.401450002612847","0.869915529773629","0","1.27136553238648"
"fs-006","0","0.962961064794513","0.522559374536941","1.48552043933145"
"fs-044","0.619382194678764","0.89207956392571","0","1.51146175860447"
"fs-046","0.566509506552905","0.825011210824175","0.337290066617014","1.72881078399409"
"fs-013","0.970950594454669","0.875","0","1.84595059445467"
"fs-002","0","0.982141032834873","0","0.982141032834873"
"fs-045","0.863120568566631","0.962961064794513","0","1.82608163336114"
"fs-050","0.845350936622436","0.992215060722016","0","1.83756599734445"
"de-004","0","0","0","0"
"de-003","0.337290066617014","0","0","0.337290066617014"
"fs-038","0.76420450650862","0.875","0","1.63920450650862"
"fs-023","0","0.921185496588555","0","0.921185496588555"
"fs-010","0.391243563629256","0.935944697445865","0","1.32718826107512"
"dm-003","0.991076059838222","1","0.468995593589281","2.4600716534275"
"exc-004","0","0","0","0"
"fs-031","0.985228136034252","0.96022971786076","0","1.94545785389501"
"fs-014","0.734555039603632","0.235193381819241","0.23181305002459","1.20156147144746"
"fs-039","0","0.96022971786076","0","0.96022971786076"
"fs-043","0.650022421648354","0.91626958884991","0","1.56629201049826"
"fs-037","0.970950594454669","0.721928094887362","0","1.69287868934203"
"fs-036","1","0.89624062518029","0","1.89624062518029"
"fs-005","0.834202288644104","0.785475297227335","0","1.61967758587144"
"fs-034","0","0.999673426004892","0","0.999673426004892"
"fs-001","0.920619835714302","0.941762301220658","0","1.86238213693496"
"fs-033","0","0.96022971786076","0","0.96022971786076"
"fs-029","0.468995593589281","0.92321967233551","0","1.39221526592479"
"fs-030","0","0.605186576633421","0","0.605186576633421"
"fs-027","0.914100892018562","0.962961064794513","0","1.87706195681308"
"fs-004","0.863120568566631","0.929906376575378","0","1.79302694514201"
"fs-022","0","0.811278124459133","0","0.811278124459133"
"fs-003","0.836640741941167","0.95665047157557","0","1.79329121351674"
"dm-002","0.863120568566631","0","0","0.863120568566631"
"dm-001","1","0","0","1"
"fs-035","0","0.96096404744368","0","0.96096404744368"
"fs-025","0.309543429150325","0.837894403500341","0","1.14743783265067"
"fs-026","0.94566030460064","0.709147917027245","0.413816850303634","2.06862507193152"
"fs-028","0","0","0","0"
"dm-006","0.91829583405449","0","0","0.91829583405449"
"dm-005","1","0","0","1"
"dm-004","1","0","0","1"
"fs-016","0","0.928383211769588","0","0.928383211769588"
"fs-017","0.817345422146509","0.844541246458714","0","1.66188666860522"
"fs-011","0","0.959147917027245","0","0.959147917027245"
"fs-012","0","0.968392514041224","0","0.968392514041224"
"fs-020","0","0.96096404744368","0","0.96096404744368"
"fs-021","0.503258334775646","0.88210225325431","0","1.38536058802996"
"fs-007","0.468995593589281","0.934977529767124","0","1.40397312335641"
"fs-015","0.222284830685688","0.289986047033209","0.289986047033209","0.802256924752106"
"fs-018","0.597094843287992","0.893294132402149","0","1.49038897569014"
"fs-019","0.920619835714302","0.89207956392571","0","1.81269939964001"
"fs-009","0.991076059838222","0.98238878179562","0","1.97346484163384"
"fs-008","0.439496986921513","0.960058249314533","0","1.39955523623605"
"fs-051","0.935893280949401","0.89207956392571","0","1.82797284487511"
"fs-052","0.873479027870177","0.913831148197153","0.391243563629256","2.17855373969659"
"fs-053","0","0.175565025857503","0.175565025857503","0.351130051715006"
"fs-054","0","0.91829583405449","0","0.91829583405449"
"fs-055","0","1","0","1"
"fs-056","0.87635763948985","0.94125040656963","0.684038435639042","2.50164648169852"
"fs-057","0","0.999999999999999","0","0.999999999999999"
"fs-058","0","1","0.91829583405449","1.91829583405449"
